,cid,canonical_smiles,molecular_weight,xlogp
230,764,C1=NC2=C(N1)C(=O)N=C(N2)N,151.13,-1
231,6314,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl,270.8,
232,6318,C1=CC(=CC=C1C(=O)O)Cl,156.56,2.7
233,6319,C1=CC=C(C=C1)NC2=CC=C(C=C2)NC3=CC=CC=C3,260.3,5
234,6322,C(CC(C(=O)O)N)CN=C(N)N,174.2,-4.2
235,6323,CBr,94.94,1
236,6324,CC,30.07,1.3
237,6325,C=C,28.05,1.2
238,6326,C#C,26.04,0.4
239,6328,CI,141.939,1.5
240,6329,CN,31.057,-0.7
241,768,C#N,27.025,0.1
242,878,CS,48.11,0.5
243,6333,C(Cl)Br,129.38,1.7
244,6334,CCC,44.1,1.8
245,6338,C=CCl,62.5,1.5
246,6341,CCN,45.08,-0.3
247,6342,CC#N,41.05,0
248,177,CC=O,44.05,-0.3
249,6343,CCS,62.14,0.9
250,6344,C(Cl)Cl,84.93,1.5
251,1068,CSC,62.14,0.9
252,6354,C1CO1,44.05,-0.1
253,5558,C(Br)(Br)Br,252.73,2.8
254,6360,CC(C)C,58.12,2.1
255,6362,CC(C)I,169.99,2.3
256,6363,CC(C)N,59.11,0.1
257,6364,CC(C)S,76.16,1.3
258,6366,C=C(Cl)Cl,96.94,2.3
259,6368,CC(F)F,66.05,1.4
260,6369,C=C(F)F,64.03,1.3
261,6371,C(=O)(Cl)Cl,98.91,1.8
262,6372,C(F)(F)Cl,86.47,1.8
263,6374,C(I)(I)I,393.732,2.7
264,1146,CN(C)C,59.11,0.3
265,6375,C[N+](=O)[O-],61.04,0.1
266,6378,CC1CO1,58.08,0
267,6379,C[N+](C)(C)C.[Cl-],109.6,
268,60966,C[N+](C)(C)C.[OH-],91.15,
269,6386,CC(C)(C)O,74.12,0.5
270,6387,CC(C)(C)S,90.19,1.5
271,6388,CC(F)(F)Cl,100.49,2
272,6391,C(F)(F)(Cl)Cl,120.91,2.3
273,6404,CC(C)(C)CO,88.15,1.3
274,6405,CCC(C)(C)O,88.15,0.9
275,6410,CC(C)(C)OO,90.12,0.6
276,6417,CC(C)(C)C(=O)O,102.13,1.5
277,6421,C(=O)(C(Cl)(Cl)Cl)O,163.38,1.3
278,6423,C([N+](=O)[O-])(Cl)(Cl)Cl,164.37,2.1
279,6425,CC(C)(C(C)(C)O)O,118.17,0.1
280,6428,C(C(F)(Cl)Cl)(F)(F)Cl,187.37,3.2
281,6430,C(C(F)(F)Cl)(F)(F)F,154.46,2.6
282,2537,CC1(C2CCC1(C(=O)C2)C)C,152.23,2.2
283,6448,CC(=O)OC1CC2CCC1(C2(C)C)C,196.29,3.3
284,23623651,CC(C)CC(=O)OC1CC2CCC1(C2(C)C)C,238.37,4.6
